Time, Wall_X, Displacement(σ), Left_Count, Right_Count, Packing_UNITLESS, Packing_ACTUAL_BOUND, Packing_ACTUAL_WITH_WALLBUFFER
0.242, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.243, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.245, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.246, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.248, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.250, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.251, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.253, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.254, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.256, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.258, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.259, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.261, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.262, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.264, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.266, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.267, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.269, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.270, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.272, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.274, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.275, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.277, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.278, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.280, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.282, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.283, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.285, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.286, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.288, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.290, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.291, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.293, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.294, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.296, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.298, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.299, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.301, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.302, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.304, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.306, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.307, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.309, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.310, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.312, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.314, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.315, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.317, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.318, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.320, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.322, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.323, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.325, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.326, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.328, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.330, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.331, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.333, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.334, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.336, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.338, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.339, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.341, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.342, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
