u,seed,t_stop,Px_stop,KE_stop,KE_left_stop,KE_right_stop,W_stop,Px_end,KE_end
0.01,9251,418.000022,7.553001653588,107.3282586629,50.00001699936,57.32824166353,7.328261304,4.501940904741,107.3282461832
0.01,9252,418.000022,1.497007576015,107.407471403,50.00002064606,57.40745075695,7.40747582,10.33853951877,107.4074577345
0.01,9253,418.000022,-2.10298330225,107.6374726377,50.00002100084,57.6374516369,7.637478577,-5.178827712912,107.6374606512
0.01,9254,418.000022,-5.821038000953,107.5525933147,50.00002281071,57.55257050397,7.552598403,15.0639459622,107.552576585
0.01,9255,418.000022,-16.49959141439,107.411190037,50.00001019068,57.41117984632,7.411192247,-9.50147217895,107.4111794107
0.01,9256,418.000022,-1.310117743826,107.4206033245,50.00003193368,57.42057139086,7.420609405,17.95402264883,107.4205838202
0.01,9257,418.000022,10.04327984764,107.412959666,50.0000095937,57.41295007234,7.412963492,-7.447048593647,107.4129478781
0.01,9258,418.000022,-4.424469328128,107.4547455693,50.00002523837,57.45472033092,7.454749846,-18.05668950167,107.454734165
0.01,9259,418.000022,8.899088753644,107.3298924274,50.00000775808,57.32988466931,7.329894922,-0.02440460353048,107.3298835778
0.01,9260,418.000022,13.82214145306,107.2588533866,50.00000998848,57.25884339816,7.258856387,-12.67060236253,107.2588417689
0.01,9261,418.000022,2.877039188671,107.5477966712,50.00001100089,57.54778567035,7.547799978,5.403299175257,107.5477792509
0.01,9262,418.000022,-9.143893057278,107.5071962932,50.00002823899,57.50716805425,7.50720164,4.600203823295,107.5071816152
0.01,9263,418.000022,11.21733843715,107.5737081316,50.00001672151,57.57369141013,7.573712928,-7.14667247769,107.5736942475
0.01,9264,418.000022,3.771897353049,107.4904466478,50.00001030865,57.4904363391,7.49044977,3.548780840189,107.490436439
0.01,9265,418.000022,3.784224723788,107.5059820866,50.00003069967,57.50595138695,7.505989191,19.1203375812,107.5059643621
0.01,9266,418.000022,-27.65587188136,107.4594641024,50.00001590877,57.45944819364,7.459467071,1.581612136537,107.4594460663
0.01,9267,418.000022,1.881787439705,107.4979896981,50.00002684766,57.49796285046,7.497996215,-7.84023049675,107.4979745183
0.01,9268,418.000022,6.879628355151,107.5190633548,50.00002536917,57.51903798568,7.519068837,4.682494114078,107.5190508954
0.01,9269,418.000022,-12.38737604244,107.5067044107,50.00002194805,57.50668246269,7.506708119,1.977533448483,107.5066909774
0.01,9270,418.000022,-1.453890449191,107.493755098,50.00001695799,57.49373813997,7.49376068,-17.9063247169,107.4937417579
0.01,9271,418.000022,-1.063561753921,107.5098720449,50.00001819099,57.50985385395,7.509876009,4.243336155227,107.5098558044
0.01,9272,418.000022,2.45911563594,107.4909550412,50.00002282472,57.4909322165,7.490961628,-7.280065651908,107.4909381843
0.01,9273,418.000022,-9.236726069832,107.4336574932,50.00002549826,57.43363199495,7.433662604,-5.176734948948,107.4336388026
0.01,9274,418.000022,4.279395743036,107.5207919487,50.00002360524,57.52076834348,7.520799017,2.076464128151,107.5207749424
0.01,9275,418.000022,-3.356244644815,107.5180379125,50.00001343468,57.51802447778,7.51804073,-9.600067115588,107.5180264823
0.01,9276,418.000022,11.91137328275,107.6369971137,50.00002755211,57.63696956163,7.637003397,-2.11675544234,107.6369831411
0.01,9277,418.000022,7.066748568633,107.4448998618,50.00002169111,57.44487817072,7.444905629,-3.956825650553,107.4448874847
0.01,9278,418.000022,-7.374616708944,107.5505878602,50.00002433686,57.55056352332,7.550592596,3.544117842075,107.5505753674
0.01,9279,418.000022,16.16848634018,107.5773159433,50.00002941898,57.57728652428,7.577324316,4.305997452252,107.5773011977
0.01,9280,418.000022,-2.100098312575,107.3830282088,50.00001599937,57.38301220942,7.383031964,-19.55354363119,107.3830173324
