eta,L0,M,rms_full,rms_2nd_half,sd_traj,ZetaZp,Z2,r_iso_L0,r_iso_Leff,r_adi_L0,r_adi_Leff,used,disc
0.157080,24.9999,50,1.6526049522874606,1.6762590092006977,1.5155241269275672,1.9467391870406887,1.9932799145429994,0.9355278896960628,0.9745083808521118,1.33092020181394,1.386375441286352,25,0
0.157080,24.9999,200,1.5194389894065155,1.5836808938011036,1.3148397571011297,1.9467391870406887,1.9932799145429994,0.8838596162034601,0.9206872536604269,1.2574148047631974,1.309807306597088,25,0
0.157080,24.9999,1000,1.292072251658778,1.3758270420343564,1.2074575661950475,1.9467391870406887,1.9932799145429994,0.7678554221969112,0.7998495314305708,1.0923824984055333,1.1378986254896266,25,0
0.196350,20.0000,50,1.1504081159423247,1.200553779881483,1.0823741989657758,2.3308584412709235,2.4206934944320246,0.9164516828871532,0.964685981986477,1.308486854907576,1.377354584113238,25,0
0.196350,20.0000,200,1.0348751252546606,1.0984920827572664,0.9190480569705852,2.3308584412709235,2.4206934944320246,0.8385421251020444,0.8826759211600467,1.1972495315035556,1.2602626647405848,25,0
0.196350,20.0000,1000,0.859426746988655,0.9218407405431749,0.8296983493975312,2.3308584412709235,2.4206934944320246,0.7036940053681993,0.7407305319665255,1.0047167494971243,1.0575965784180257,25,0
0.261799,15.0000,50,0.7547714855041193,0.793077389345438,0.6818533003566545,3.193151801686683,3.424867728307906,0.9447873981482761,1.0122722123017245,1.3601547780347258,1.4573086907514918,25,0
0.261799,15.0000,200,0.6898017305921971,0.7367025735571889,0.6022154382373462,3.193151801686683,3.424867728307906,0.8776284849763498,0.940316233903232,1.2634700457685586,1.3537179061805984,25,0
0.261799,15.0000,1000,0.5847057098281114,0.6182088037690906,0.547248195501168,3.193151801686683,3.424867728307906,0.7364677080346737,0.7890725443228647,1.060249188245878,1.1359812731205836,25,0
0.392699,10.0000,50,0.34988654580766687,0.3663663794392565,0.32606590666682655,6.414831226720313,7.618282386282747,0.9279150741712984,1.0310167490792206,1.3724376809487542,1.5249307566097268,25,0
0.392699,10.0000,200,0.30308635948139284,0.3142653927150603,0.2667661679469908,6.414831226720313,7.618282386282747,0.7959562109301479,0.8843957899223865,1.1772632287942186,1.3080702542157985,25,0
0.392699,10.0000,1000,0.24799775744943142,0.2591287953265431,0.23027207355225657,6.414831226720313,7.618282386282747,0.6563088995867181,0.729232110651909,0.9707171369527098,1.078574596614122,25,0
0.523599,7.5000,50,0.1652692517789558,0.17483017588918534,0.14857363210213395,14.659445328786381,20.530697009381978,0.8925116633481677,1.0298211500171166,1.3828199702070636,1.5955615040850732,25,0
0.523599,7.5000,200,0.14473950657241005,0.15709462306513475,0.12381614258986129,14.659445328786381,20.530697009381978,0.8019712994156513,0.9253514993257516,1.2425405447416082,1.4337006285480094,25,0
0.523599,7.5000,1000,0.12429323013272903,0.12963219986356508,0.11345811695775948,14.659445328786381,20.530697009381978,0.6617750610572339,0.7635866089121931,1.0253263994130646,1.18306892239969,25,0
0.549999,7.1400,50,0.14899037553743213,0.1575570272484509,0.12860576534288198,17.702560606410728,25.881818601466517,0.9284480559836478,1.0796610944174665,1.4568169926275674,1.6940836038046956,25,0
0.549999,7.1400,200,0.15291004180250842,0.16776207186599412,0.10916434710662616,17.702560606410728,25.881818601466517,0.9885840842005521,1.1495912640377755,1.5511757316123793,1.8038102155883367,25,0
0.549999,7.1400,1000,0.1024775745037765,0.10980516911490165,0.09253600283807467,17.702560606410728,25.881818601466517,0.6470571169188424,0.7524410121824975,1.0152897591338965,1.1806463974293193,25,0
0.569996,6.8895,50,0.1356555680130053,0.13933997077627677,0.12524138701664517,20.544886355505973,31.117596557131762,0.9167267037326058,1.0723811232474385,1.45370287037169,1.7005324603830136,25,0
