eta,L0,KR,2_25,3_25,4_25,8_25,16_25,w3_25,d2_25,d3_25,d4_25,d8_25,d16_25,2_200,3_200,4_200,8_200,16_200,w3_200,d2_200,d3_200,d4_200,d8_200,d16_200,drift_edge_0.1_median,drift_edge_0.1_worst,drift_edge_0.01_median,drift_edge_0.01_worst,res_edge_0.1_median,res_edge_0.1_worst,res_edge_0.01_median,res_edge_0.01_worst,maxabove_k2_worst,maxabove_k3_worst,maxabove_k4_worst,maxabove_k8_worst,maxabove_k16_worst
0.695006,5.6503,nan,17.208806214289144,18.17869683502535,18.17869683502535,18.17869683502535,18.17869683502535,18.17869683502535,-5.3353143491974215,0.0,0.0,0.0,0.0,5.463551110592415,8.74932717725756,10.507327956776834,15.524867161317633,17.859629259142796,17.859629259142796,-69.40837331326189,-51.0105890200461,-41.16715523981066,-13.072847503986898,0.0,0.01892744479495268,0.11146496815286625,0.07886435331230283,0.49683544303797467,0.9211356466876972,0.7866242038216561,0.694006309148265,0.5,17.19867388210345,4.489230663137584,3.8075783349965384,1.1321650488429713,0.3058626557985976
0.699998,5.6100,nan,17.879421141232825,19.01779231032073,19.32224913978105,19.32224913978105,19.32224913978105,19.32224913978105,-7.467184529660682,-1.5756800735660677,0.0,0.0,0.0,5.927886722918829,8.989094820760211,11.050224762407792,18.361459817698623,19.349740196819617,19.349740196819617,-69.36451516856462,-53.54410586743854,-42.892128524681475,-5.1074607155884735,0.0,0.023668639053254437,0.10802469135802469,0.08682634730538923,0.49691358024691357,0.9131736526946108,0.7345679012345679,0.7065868263473054,0.49850746268656715,16.7585022046154,6.830172583837954,5.163569896651275,1.11497575853595,0.3658193677357046
0.705000,5.5702,nan,16.555677700855114,17.256321448747265,17.489236356277562,17.498813967998238,17.498813967998238,17.498813967998238,-5.389715376527394,-1.3857654564157469,-0.05473291926065137,0.0,0.0,3.492245813481378,6.562282641902942,9.253596841541212,14.490664709041065,18.488181818174404,18.488181818174404,-81.11092887431255,-64.50552733394241,-49.94858373555876,-21.622013178189686,0.0,0.03180212014134275,0.12142857142857143,0.4911660777385159,0.49642857142857144,0.8812949640287769,0.7563025210084033,0.5159010600706714,0.49823321554770317,15.247833799995435,8.891234357023595,4.59617919842595,1.7880844136773368,0.3490134028216928
0.709997,5.5310,nan,14.384949270137804,15.004442643494711,15.36445277960255,15.36445277960255,15.36445277960255,15.36445277960255,-6.3751278585405196,-2.343136727822672,0.0,0.0,0.0,2.929060798195578,5.072815913148333,7.263045417987236,13.813661378090332,17.20630567065491,17.20630567065491,-82.97681760244997,-70.51769269797443,-57.78846687366337,-19.717447530591535,0.0,0.04377104377104377,0.21311475409836064,0.48172757475083056,0.4965753424657534,0.7713310580204779,0.7328767123287672,0.5050505050505051,0.5,33.60712443774733,15.010568902791583,11.47652441672274,2.800141923675444,0.690687321492869
0.714999,5.4923,nan,15.402030091769033,15.683135346802743,15.683135346802743,15.683135346802743,15.683135346802743,15.683135346802743,-1.7924046998103453,0.0,0.0,0.0,0.0,4.25457163060931,6.577519287312237,8.563092810428987,14.76734021755313,16.533254544783887,16.533254544783887,-74.26658121614905,-60.21642762775105,-48.20685311997101,-10.68098433038333,0.0,0.03225806451612903,0.12,0.13709677419354838,0.496,0.9354838709677419,0.836,0.7137096774193549,0.49794238683127573,15.755466569090085,6.534671513879346,3.857411066065127,1.146921467636986,0.30607647147737393
0.719994,5.4542,nan,16.474885373925478,16.67457554859089,16.67457554859089,16.67457554859089,16.67457554859089,16.67457554859089,-1.1975727602990667,0.0,0.0,0.0,0.0,8.514828762695558,10.376119022638335,11.23680008374713,15.996556713321638,16.85366525821259,16.85366525821259,-49.477881325865404,-38.434050613517584,-33.32726198373038,-5.085591364010824,0.0,0.015503875968992248,0.0784313725490196,0.046511627906976744,0.49411764705882355,0.9652509652509652,0.8627450980392157,0.875968992248062,0.4980392156862745,9.401814544972702,5.196347649752429,3.996343687690166,0.7586010724467589,0.1824402610543675
0.725005,5.4165,nan,17.303230490059303,17.6994681364064,17.94438810614093,17.94438810614093,17.94438810614093,17.94438810614093,-3.573025796640071,-1.3648833734860848,0.0,0.0,0.0,9.46543303556725,11.636521431136709,13.171404074348828,17.463560867356712,17.967423755590215,17.967423755590215,-47.31891914876074,-35.23544839022216,-26.692862296127448,-2.8043134902784015,0.0,0.007434944237918215,0.06818181818181818,0.022304832713754646,0.36742424242424243,0.9740740740740741,0.9015151515151515,0.9037037037037037,0.5113636363636364,4.174295073675812,2.597804270549094,1.3743238795268657,0.566628519188676,0.12393544891293348
0.730005,5.3794,nan,18.058608472821362,18.579561331533863,18.579561331533863,18.579561331533863,18.579561331533863,18.579561331533863,-2.803902898548646,0.0,0.0,0.0,0.0,10.479953880645882,12.911242954570412,14.947816959737326,18.691004308902397,18.691004308902397,18.691004308902397,-43.93049347458364,-30.922690181924168,-20.026678541731524,0.0,0.0,0.011029411764705883,0.07407407407407407,0.029411764705882353,0.4888888888888889,0.9703703703703703,0.8851851851851852,0.8786764705882353,0.5148148148148148,5.339881853870589,3.396086614260545,2.3666775711924086,0.4505483788004959,0.15488514091547073
0.740006,5.3067,nan,22.200709743731608,22.840060553585992,22.840060553585992,22.840060553585992,22.840060553585992,22.840060553585992,-2.7992518161428595,0.0,0.0,0.0,0.0,11.40990170972414,15.239301563511946,17.97520165366542,22.566396397045295,22.898096943949238,22.898096943949238,-50.17096076737863,-33.447300879128775,-21.49914598725935,-1.4485943863190485,0.0,0.006389776357827476,0.06168831168831169,0.025559105431309903,0.4707792207792208,0.9744408945686901,0.9058441558441559,0.8881789137380192,0.5454545454545454,10.937079548803812,3.0391219469818993,2.2431413854911577,0.5250572299288027,0.19901608478431812
0.749998,5.2360,nan,27.577262272292995,27.577262272292995,27.577262272292995,27.95449199733426,27.95449199733426,27.95449199733426,-1.3494422473398437,-1.3494422473398437,-1.3494422473398437,0.0,0.0,13.184770449527043,15.681470902479223,19.318383511646047,26.850946508748184,28.01126565616671,28.01126565616671,-52.930472291513894,-44.01727114023878,-31.033521481050663,-4.14233030974479,0.0,0.011019283746556474,0.06685236768802229,0.030303030303030304,0.48746518105849584,0.9586776859504132,0.8690807799442897,0.8732782369146006,0.4986072423398329,6.188798143882867,3.361850389598621,2.486324378254734,0.8825027462348148,0.292822373631272
0.759999,5.1671,nan,36.56673956824686,37.63621546881736,37.63621546881736,37.63621546881736,37.63621546881736,37.63621546881736,-2.84161382128496,0.0,0.0,0.0,0.0,13.434056067923802,18.73087303948773,21.840061510630697,30.605964392150003,37.632327562282796,37.632327562282796,-64.3018199028748,-50.22664221741935,-41.96462742177017,-18.671083149199102,0.0,0.013215859030837005,0.07777777777777778,0.04405286343612335,0.49777777777777776,0.9537444933920705,0.8244444444444444,0.7973568281938326,0.5022222222222222,8.868795429179967,5.259412282476094,3.510318195820639,1.7004723007671065,0.45245126627149973
