eta,L0,M,run,seed,nu,peak_snr,peak_on_search_boundary,frequency_quality_pass,forced_advance,clamp_repair,overlap_repair,wall_overdue,wall_overdue_class,psi6_global_hold,psi6_global_end,gpt_health_reason,gpt_eligible_structure,eligible,exclusion_reasons,T_i_left,T_i_right,T_i_mean
0.019635,199.999496,100,8,2515951753,0.0009929109607839084,833.8141758420239,0,1,0,0,0,1,t0_seeder_right_wall,0.0772658616,0.0293033368,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.981546426,0.992813490,0.987179958
0.019635,199.999496,100,9,706968012,0.0010269006063095062,678.3285442572737,0,1,0,0,0,1,t0_seeder_right_wall,0.02,0.0163525816,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.996658104,0.934073266,0.965365685
0.019635,199.999496,1500,0,1968743526,0.00031056682626377617,21230.909701922694,0,1,0,0,0,0,none,0.061592424,0.00821614515,,True,1,,0.983130146,0.984292594,0.983711370
0.019635,199.999496,1500,1,2444672811,0.0003024057435727295,59017.59523610669,0,1,0,0,0,1,t0_seeder_right_wall,0.0208957478,0.0230104832,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.998164760,0.991549934,0.994857347
0.019635,199.999496,1500,10,2587347137,0.0002957663531872186,15130.753116932707,0,1,0,0,0,1,t0_seeder_right_wall,0.0296061389,0.0308428776,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.986684336,0.969839438,0.978261887
0.019635,199.999496,1500,11,3985190668,0.0002869040777783988,13346.421224386777,0,1,0,0,0,2,t0_seeder_right_wall,0.0275375223,0.0434591269,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.986749712,0.999840814,0.993295263
0.019635,199.999496,1500,12,789089434,0.00030237294249945557,22706.293369452746,0,1,0,0,0,0,none,0.0148812888,0.0370117249,,True,1,,0.878565034,0.975292314,0.926928674
0.019635,199.999496,1500,13,878363404,0.0003070672693090965,25479.541196507354,0,1,0,0,0,1,t0_seeder_right_wall,0.0235566057,0.0258887498,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.970069646,0.985546644,0.977808145
0.019635,199.999496,1500,14,2620794521,0.0002917154531302438,14816.339845901557,0,1,0,0,0,1,t0_seeder_right_wall,0.0200049169,0.00352016554,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.993306692,0.998165586,0.995736139
0.019635,199.999496,1500,15,4076697496,0.00030800479069673407,43576.09802904734,0,1,0,0,0,2,t0_seeder_right_wall,0.0839136465,0.0140582153,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.973753052,0.992367698,0.983060375
0.019635,199.999496,1500,16,2642291529,0.0002978657660057746,83597.66772285117,0,1,0,0,0,0,none,0.0307146687,0.0478002622,,True,1,,0.995772946,0.953013882,0.974393414
0.019635,199.999496,1500,17,641930798,0.0002903076980553114,6462.865570001928,0,1,0,0,0,0,none,0.0271980414,0.0373450558,,True,1,,0.992790038,0.976654278,0.984722158
0.019635,199.999496,1500,18,855026150,0.0002980047067970539,29569.10358435019,0,1,0,0,0,0,none,0.0398145486,0.0259541344,,True,1,,0.999972620,0.951835678,0.975904149
0.019635,199.999496,1500,19,263050187,0.000295819196180475,41942.419896242776,0,1,0,0,0,1,t0_seeder_right_wall,0.00825925755,0.02537656,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.929558892,0.975481042,0.952519967
0.019635,199.999496,1500,2,1888989372,0.0002860491509187282,17249.91642101888,0,1,0,0,0,2,t0_seeder_right_wall,nan,0.020000356,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.972663570,0.980055248,0.976359409
0.019635,199.999496,1500,20,1561239877,0.00029820326231586893,256023.95642221675,0,1,0,0,0,2,t0_seeder_right_wall,0.0163234751,0.0444707109,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.985858906,0.989569964,0.987714435
0.019635,199.999496,1500,21,3210229985,0.00030525881253399314,28703.88976227626,0,1,0,0,0,1,t0_seeder_right_wall,0.0296849697,0.00784013046,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.999813862,0.996540090,0.998176976
0.019635,199.999496,1500,22,3822971474,0.0003039117201278357,22004.887031930848,0,1,0,0,0,0,none,0.0113874732,0.02,,True,1,,0.991211608,0.996220576,0.993716092
0.019635,199.999496,1500,23,2277591997,0.0003057306636915149,12828.681134772409,0,1,0,0,0,1,t0_seeder_right_wall,0.0871630182,0.0263867625,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.933636236,0.971260344,0.952448290
0.019635,199.999496,1500,24,3723336433,0.00029775921068406127,84675.91471088589,0,1,0,0,0,0,none,0.0303472562,0.013031429,,True,1,,0.941087282,0.984679060,0.962883171
0.019635,199.999496,1500,3,2057570727,0.00030068468408891053,54866.6468444284,0,1,0,0,0,1,t0_seeder_right_wall,0.02,0.0443268709,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.992719718,0.979502650,0.986111184
0.019635,199.999496,1500,4,457115609,0.0002924524545508109,274371.16596377164,0,1,0,0,0,2,t0_seeder_right_wall,0.0356721818,0.0104891588,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.990380334,0.974979168,0.982679751
0.019635,199.999496,1500,5,1138561128,0.00029819169906225427,34699.16812299405,0,1,0,0,0,1,t0_seeder_right_wall,0.033203444,0.053033558,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.912278518,0.999912944,0.956095731
0.019635,199.999496,1500,6,1009392529,0.0003025388388274526,18305.05929922103,0,1,0,0,0,1,t0_seeder_right_wall,0.0190833202,0.068131495,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.956619542,0.981130390,0.968874966
0.019635,199.999496,1500,7,4070250579,0.0002968514285001735,72334.45927368074,0,1,0,0,0,1,t0_seeder_right_wall,0.02,0.0183344292,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.952718236,0.959763546,0.956240891
0.019635,199.999496,1500,8,4162933202,0.000303816656309281,44501.4909949019,0,1,0,0,0,1,t0_seeder_right_wall,0.0297300694,0.0386244449,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.996228214,0.977166656,0.986697435
0.019635,199.999496,1500,9,4126837617,0.0003013634934547824,109759.57852707965,0,1,0,0,0,0,none,0.0253688156,0.0402479903,,True,1,,0.984806012,0.948467214,0.966636613
0.019635,199.999496,2000,0,1698870144,0.0002636018023122905,112154.89257098908,0,1,0,0,0,1,t0_seeder_right_wall,0.02,0.0374226651,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.989611632,0.981468650,0.985540141
0.019635,199.999496,2000,1,464516557,0.00025297407478318875,28967.904781092686,0,1,0,0,0,0,none,0.0369732388,0.0338467081,,True,1,,0.980905588,0.999208076,0.990056832
0.019635,199.999496,2000,10,990300945,0.00025823940498581957,246456.0877567058,0,1,0,0,0,1,t0_seeder_right_wall,0.00381780033,0.0107006343,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.998429836,0.996837304,0.997633570
0.019635,199.999496,2000,11,538266548,0.0002572397705818342,25310.717956198296,0,1,0,0,0,1,t0_seeder_right_wall,0.0242713767,0.0109928035,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.954536186,0.991866136,0.973201161
0.019635,199.999496,2000,12,4111849236,0.00025244288444758225,27825.512563790817,0,1,0,0,0,1,t0_seeder_right_wall,0.0447191364,0.0313278914,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.994615682,0.998864762,0.996740222
0.019635,199.999496,2000,13,2066394696,0.0002585237400275864,118945.62449801312,0,1,0,0,0,1,t0_seeder_right_wall,0.0504658851,0.0396690797,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.979871886,0.994533364,0.987202625
0.019635,199.999496,2000,14,992099591,0.0002566074587935696,35928.777509072774,0,1,0,0,0,0,none,0.0422399717,0.0388980384,,True,1,,0.982385358,0.882172646,0.932279002
0.019635,199.999496,2000,15,2380860576,0.00026574275377059734,45966.22134492454,0,1,0,0,0,0,none,0.0319589638,0.0673823831,,True,1,,0.998969412,0.988496654,0.993733033
0.019635,199.999496,2000,16,3634603923,0.00025704453915174343,55714.57404876719,0,1,0,0,0,0,none,0.02,0.0406867064,,True,1,,0.984055324,0.981691548,0.982873436
0.019635,199.999496,2000,17,1199963774,0.00026058367311803743,160040.79221176272,0,1,0,0,0,2,t0_seeder_right_wall,0.0462440323,0.0255872506,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.973643710,0.918343944,0.945993827
0.019635,199.999496,2000,18,1597234782,0.0002595979166204594,213524.1190625167,0,1,0,0,0,1,t0_seeder_right_wall,0.0316397673,0.0164991815,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.999610704,0.978859736,0.989235220
0.019635,199.999496,2000,19,1205326326,0.0002603255723409134,106761.18315765697,0,1,0,0,0,1,t0_seeder_right_wall,0.0360859456,0.0569579231,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.943810364,0.991094972,0.967452668
0.019635,199.999496,2000,2,3998072142,0.0002579720598232506,29596.78887965219,0,1,0,0,0,1,t0_seeder_right_wall,0.0544951667,0.0202780455,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.992383250,0.948449962,0.970416606
0.019635,199.999496,2000,20,4035976036,0.0002507234554443994,59249.739675599325,0,1,0,0,0,0,none,0.0232233821,0.0395113834,,True,1,,0.990083838,0.959411320,0.974747579
0.019635,199.999496,2000,21,2428226504,0.0002615215656581792,79728.31123056161,0,1,0,0,0,1,t0_seeder_right_wall,0.0255381613,0.06517354,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.997615168,0.985745620,0.991680394
0.019635,199.999496,2000,22,1989999446,0.00026188426854687873,253565.4062434594,0,1,0,0,0,1,t0_seeder_right_wall,0.0307208578,0.02,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.998349972,0.986070068,0.992210020
0.019635,199.999496,2000,23,3234736541,0.0002569806481069332,12852.127499478816,0,1,0,0,0,0,none,0.036680484,0.0158028234,,True,1,,0.976404862,0.990637598,0.983521230
0.019635,199.999496,2000,24,4193502925,0.00026980197142859605,23025.4616092474,0,1,0,0,0,1,t0_seeder_right_wall,0.0543414419,0.00608941402,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.978345958,0.996261382,0.987303670
